Part No.,Default purchase price,Default supplier
SXTH-TEE-06-3XL,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-06-LG,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-06-MD,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-06-SM,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-06-XL,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-06-XXL,9.0,Dongguan Metro Clothing Co.
19-10-800-WHT-CLR,8.5,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-800-RD-CLR,8.5,"Anhui Jagrow Auto Parts Co., Ltd."
18-14-100-03-CLR,83.3,
18-14-300-ASB-CLR,120.62,SXTH Element Engineering
SXTH-TEE-05-3XL,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-05-LG,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-05-MD,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-05-SM,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-05-XL,9.0,Dongguan Metro Clothing Co.
SXTH-TEE-05-XXL,9.0,Dongguan Metro Clothing Co.
14-03-201-FAB-CLR,282.85,Custom Performance Engineering (CP-E)
14-03-203-08-FAB-CLR,20.0,
14-03-110-01-CLR,23.976,Haizol
14-03-400-04-CLR,650.0,
P202304107150025,1229.16,HighPerformance KR
P202304110094422,141.8,HighPerformance KR
P20230247190346,597.04,HighPerformance KR
2871001-B,1.174,
27-12-200-12-D-FAB,24.5,
27-12-201-12-D-FAB,39.3,
16-08-200-03,28.95,Qingdao Zehan Machinery Manufacturing Co. Ltd.
16-08-200-04,18.47,"Ningbo Pino Metal Products Co., Ltd"
11-01-701-01,7.49,K Display
A00038,,
09-01-200-02-R2,48.8,"Shanghai Titanium Power Trading Co., LTD."
CN7N-CFMIR,232.6666666666,Motorial KR
15-03-700-01,6.84,Oshcut
15-03-100-PLA-SIL,100.0,
15-03-101-02,10.87,Oshcut
15-03-201-ASB,225.0,"HangZhou TaiMei Performance Co.,Ltd"
15-03-100-03,18.7,Hunt Tech Company Limited
15-03-103-01-FAB,150.0,"Xinxiang Zhen Hua Radiator Co., Ltd."
15-03-103-SIL,100.0,
15-01-110-08,24.65,"Shanghai Langjue Mould Co.,LTD"
15-01-110-04,4.9,"Shanghai Langjue Mould Co.,LTD"
15-01-200-POL,150.0,Mertop Race Co. Ltd
15-01-200-PCS-POL,150.0,Mertop Race Co. Ltd
15-01-200-PCS-BLU,150.0,Mertop Race Co. Ltd
15-01-200-01,73.0,Custom Performance Engineering (CP-E)
15-01-200-01-FAB,88.9962,
15-01-100-SIL,100.0,
15-01-100-02,83.05,"Shanghai Langjue Mould Co.,LTD"
15-01-700-01,3.4,Qingdao Zehan Machinery Manufacturing Co. Ltd.
15-01-100-LIDHWP,100.0,
15-01-110-PCS,9.2,"Anhui Jagrow Auto Parts Co., Ltd."
15-01-100-03,8.15,"Hangzhou Paishun Rubber And Plastic Co., Ltd"
15-01-100-01,17.28,"Hangzhou Paishun Rubber And Plastic Co., Ltd"
15-01-105-05,23.86,"Hangzhou Paishun Rubber And Plastic Co., Ltd"
15-01-105-04,7.32,"Hangzhou Paishun Rubber And Plastic Co., Ltd"
15-01-105-SIL,100.0,
15-01-110-03,17.8,"Shanghai Langjue Mould Co.,LTD"
15-03-105-SIL,100.0,
15-03-800,786.0,"Shanghai Langjue Mould Co.,LTD"
86562IB010NC5/86561IB010NC5,74.0,Albert Hwang
15-03-101-PLA-SIL,100.0,
15-03-100-04-PL,8.5,"Jinsumei Environmental Protection Plastic Products Co., Ltd"
15-03-202-PCS,299.5,"Anhui Jagrow Auto Parts Co., Ltd."
09-01-202-FAB,95.73,
09-01-202-PCS-POL,150.0,Mertop Race Co. Ltd
09-01-202-PCS-BLU,150.0,Mertop Race Co. Ltd
09-01-103-05-FAB,59.82,
09-01-103-04-R2,47.3,Custom Performance Engineering (CP-E)
09-01-103-1-3-FAB,177.87,
09-01-701-01,7.49,K Display
09-01-701-01-PDR,12.0,Qingdao Zehan Machinery Manufacturing Co. Ltd.
27-12-200-10-FAB,110.96,
14-03-500-06,0.95,Qingdao Zehan Machinery Manufacturing Co. Ltd.
05-01-200-02-FAB,56.085833,
05-01-200-02,24.22,"Leonhardt Manufacturing Co., Inc."
05-01-200-03,35.37,"Leonhardt Manufacturing Co., Inc."
05-01-200-04,35.37,"Leonhardt Manufacturing Co., Inc."
05-01-700-01,3.27,K Display
05-01-701-01,3.0,Qingdao Zehan Machinery Manufacturing Co. Ltd.
05-01-701-01-PDR,6.5,Productions Unlimited
05-01-701-ACC,18.5,"SEATO Intelligent Technology (Shanghai) Co., Ltd."
05-01-101-ASB,150.0,"Xinxiang Zhen Hua Radiator Co., Ltd."
05-01-700-01-PDR,3.27,
28231-2B790-HYB,1895.0,Turbobay Performance
28231-2B790,1.689,Columbus
02-01-550-FAB,48.74,
14-03-500-PDR,55.17,
02-01-103-SIL,100.0,
ATP-FTG-010,9.75,ATP Turbo
09-01-103-05-R1,35.3,"Ningbo Pino Metal Products Co., Ltd"
09-01-103-02-R1,26.46,Haizol
09-01-103-01,53.0,"Xinxiang Zhen Hua Radiator Co., Ltd."
09-01-103-03-R1,26.46,Haizol
09-01-103-09,9.48,Qingdao Zehan Machinery Manufacturing Co. Ltd.
27-12-200-01-FAB,110.52,
19-10-300-01,1.5,"SEATO Intelligent Technology (Shanghai) Co., Ltd."
19-10-300-02,1.43,"SEATO Intelligent Technology (Shanghai) Co., Ltd."
19-10-101,31.5,Green Filter USA
19-10-106-03,20.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-106-06,5.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-106-01,10.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-106-02,30.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-106-02-FAB,30.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-106-04,5.0,"Anhui Jagrow Auto Parts Co., Ltd."
19-10-800-07,2.65,Send Cut Send
19-10-803,180.0,"Supreem Carbon Co., Limited"
19-10-801-01,138.0,"Shanghai Langjue Mould Co.,LTD"
19-10-100-LIDHWP,100.0,
19-10-100-SIL,100.0,
19-10-202-05-FAB,200.0,"Anhui Jagrow Auto Parts Co., Ltd."
